"2014-07-01 01:11:10",EventLogger,log_opened,"Log opened upon Event Logger startup."
"2014-07-01 01:11:44","AIR:401000000","building-toon",401002211,"3100|8"
"2014-07-01 01:11:44","AIR:401000000","building-toon",401002217,"3100|50"
"2014-07-01 01:11:44","AIR:401000000","building-toon",401002223,"3100|11"
"2014-07-01 01:11:44","AIR:401000000","building-toon",401002229,"3100|10"
"2014-07-01 01:11:44","AIR:401000000","building-cog",401002235,"3100|12|c|4"
"2014-07-01 01:11:44","AIR:401000000","building-toon",401002237,"3100|13"
"2014-07-01 01:11:44","AIR:401000000","building-toon",401002243,"3100|14"
"2014-07-01 01:11:44","AIR:401000000","building-toon",401002249,"3100|15"
"2014-07-01 01:11:44","AIR:401000000","building-toon",401002255,"3100|51"
"2014-07-01 01:11:44","AIR:401000000","building-cog",401002261,"3100|17|c|4"
"2014-07-01 01:11:44","AIR:401000000","building-toon",401002263,"3100|18"
"2014-07-01 01:11:44","AIR:401000000","building-toon",401002269,"3100|21"
"2014-07-01 01:11:44","AIR:401000000","building-toon",401002275,"3100|22"
"2014-07-01 01:11:44","AIR:401000000","building-toon",401002280,"3100|23"
